99810 9099
1 31 2.5
1 1029 3.0
1 1061 3.0
1 1129 2.0
1 1172 4.0
1 1263 2.0
1 1287 2.0
1 1293 2.0
1 1339 3.5
1 1343 2.0
1 1371 2.5
1 1405 1.0
1 1953 4.0
1 2105 4.0
1 2150 3.0
1 2193 2.0
1 2294 2.0
1 2455 2.5
1 2968 1.0
1 3671 3.0
2 10 4.0
2 17 5.0
2 39 5.0
2 47 4.0
2 50 4.0
2 52 3.0
2 62 3.0
2 110 4.0
2 144 3.0
2 150 5.0
2 153 4.0
2 161 3.0
2 165 3.0
2 168 3.0
2 185 3.0
2 186 3.0
2 208 3.0
2 222 5.0
2 223 1.0
2 225 3.0
2 235 3.0
2 248 3.0
2 253 4.0
2 261 4.0
2 265 5.0
2 266 5.0
2 272 3.0
2 273 4.0
2 292 3.0
2 296 4.0
2 300 3.0
2 314 4.0
2 317 2.0
2 319 1.0
2 339 3.0
2 349 4.0
2 350 4.0
2 356 3.0
2 357 3.0
2 364 3.0
2 367 3.0
2 370 2.0
2 371 3.0
2 372 3.0
2 377 3.0
2 382 3.0
2 405 2.0
2 410 3.0
2 454 4.0
2 457 3.0
2 468 4.0
2 474 2.0
2 480 4.0
2 485 3.0
2 497 3.0
2 500 4.0
2 508 4.0
2 509 4.0
2 515 4.0
2 527 4.0
2 537 4.0
2 539 3.0
2 550 3.0
2 551 5.0
2 552 3.0
2 585 5.0
2 586 3.0
2 587 3.0
2 588 3.0
2 589 5.0
2 590 5.0
2 592 5.0
2 593 3.0
2 616 3.0
2 661 4.0
3 60 3.0
3 110 4.0
3 247 3.5
3 267 3.0
3 296 4.5
3 318 5.0
3 355 2.5
3 356 5.0
3 377 2.5
3 527 3.0
3 588 3.0
3 592 3.0
3 593 3.0
3 595 2.0
3 736 3.5
3 778 4.0
3 866 3.0
3 1197 5.0
3 1210 3.0
3 1235 4.0
3 1271 3.0
3 1378 4.0
3 1580 3.5
3 1721 4.5
3 1884 4.0
3 2028 4.0
3 2318 4.0
3 2513 3.0
3 2694 3.0
3 2702 3.5
3 2716 3.0
3 2762 3.5
3 2841 4.0
3 2858 4.0
3 2959 5.0
3 3243 3.0
3 3510 4.0
3 3949 5.0
3 5349 3.0
3 5669 3.5
